S. No.,s1,s2,s3,lambda,Runred,Pollutant,Cost,Infiltration trench,Vegetated_filterstrip,Wet_pond,Bioretention,Constructed_wetland,Porous_Pavement,Grassed_swales,Sand_filter__surface_,Infiltration Basin,Rain Barrel,Time
69,0.6,0.8,1,0.567741651533713,9881964.46773836,73347804843.3748,11161677034.8942,38176156.9644316,45920.9379480765,8543.40197573787,43379.3497944084,14882.8958200336,39036.056616363,44969.8945912605,19726.4906304733,20881966.1882873,197488.524897387,29.0768799781799
70,0.6,1,0.2,0.618094318524413,11110738.988221,80281054175.7868,12533227470.3995,39756150.5300685,38458.4218791345,18501.2539317727,28359.1056480314,18784.0109570451,31907.2009308026,46683.2682691806,30070.4518189596,26878182.4542414,32447.2995837993,39.5805809497833
71,0.6,1,0.4,0.605632444644242,10780203.7787315,79171972931.4649,12177283520.9196,39738050.1402843,47681.015108697,14239.4264263852,67062.9095023306,13886.995942567,23217.7657776701,33808.8515332487,28665.9777148417,24897222.9731485,14239.6399402261,36.8837721347809
72,0.6,1,0.6,0.591665899395575,10474630.4020282,77810798313.5787,11860647113.657,38278840.662271,60725.6551857339,18120.4237264493,60001.4287111713,7092.72614213272,30698.8848234657,51040.7485142068,21750.7895940273,24485235.447574,27419.4144031177,37.5148720741272
73,0.6,1,0.8,0.577441276234714,10196871.0958072,76484381152.1464,11578676662.5582,38058460.0573655,41824.120749041,13786.4379683324,71091.4679198228,9967.8091581694,42887.071925155,69500.0999719698,18356.8650216834,23011011.8784591,27759.4117414531,41.0916137695313
74,0.6,1,1,0.56432448668988,9934942.19872958,75195960691.0275,11259400630.5208,38379025.2595197,38431.573399483,13948.7805268408,64385.317288425,14255.7013401187,36126.5131678653,46268.6300401811,21760.1465029047,21117552.2667759,59657.8145500355,34.8904848098755
75,0.8,0.2,0.2,0.621924576479485,10957025.7142536,72550030615.34,12414272518.1522,35065273.993921,45977.1930511243,16214.7729756253,61122.1214737295,16131.2325569068,42473.6063712089,46160.0486143173,25074.6860110514,30240963.673158,385786.958525313,34.4716565608978
76,0.8,0.2,0.4,0.606470904188466,10757015.4760454,70788760548.1051,12149508302.7675,35541499.5912954,59948.3717919661,12583.9616740524,47530.7492183807,19356.7016325417,31080.8392705874,39668.2424422309,20163.0749057506,27719198.4503762,1253751.08868031,39.1396420001984
77,0.8,0.2,0.6,0.58926282922988,10521750.4042012,70524093516.9068,11946500376.6133,32879084.2898235,52477.6316687173,12384.0080992788,44696.3139714208,13650.6596566626,55005.051984344,47715.7145134871,29772.2997321624,29746568.080195,444440.243541146,38.6342940330505
78,0.8,0.2,0.8,0.573711458326546,10309979.6367508,67657284425.3083,11695848955.4836,32002067.8602125,52742.6345435686,12281.8640294357,50351.509134535,17394.9686453376,42309.4447868281,38548.2788353257,28234.0387561597,28822877.5327056,986697.911737602,38.2115406990051
